publication_name,organization,contributors,location,region,first_year,last_year,issues_in_corpus,processed,source_archive,archive_collection,notes
Ain't I A Woman?,Iowa City Women's Liberation Front,Vickie; Pat; Debbie; Dale; Linda; Penny; Lori; Carole; Julie; Carol; Anne; Pat; Sue; Linda,"Iowa City, IA",Midwest,1970,1974,31,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,"driven by need for increased communication in Mid-West and to break out of middle-class, university priviledge of campus organizations - no hierarchy of staff"
All She Wrote,University YWCA,NA,"Honolulu, HI",West,1982,1986,15,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,published by colective through University YWCA
All Together Journal,ALL TOGETHER INC.,Lloyd Levin; Grant L. Ford; Sarah Wilson; Philip Bizar; Nancy Borman; Paul Breton; Edgar W. Butler; Rob Cole; Helen Colton; Charles Dawson; Ellis Gold; James R. Smith; Merle Goldberg; Dan Gumbleton; Kay Levin; Hy Levy; Robert McGinley; Millard Perstein; Michael E. Pildes; Robert Renouf,"Chicago, IL",Midwest,1972,1972,1,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,published by not-for-profit corporation in Chicago
At the Foot of the Mountain,At the Foot of the Mountain,Meridith Flynn; Phyllis Jane Rose; Nett Hart,"Minneapolis, MN",Midwest,1976,1976,1,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,"published by professional women's theater of protest, celebration, and hope; focus on arts as political"
Atalanta,University of Connecticut Women's Center,NA,"Storrs, CT",Northeast,1975,1975,1,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,pubication assisted by ALERT Women's Legislative Review
Aurora,NA,Cat Nilan; Meg Starr; Jenny Wriggins; Tamara Ogorzaly; Denise Yuspeh; Karen Matthews; Caroline Revercomb; Nancy Brown; Heather Meeker; Linda Hoaglund; Mary Ann Martinsek; Doug Tifft; Harriet Dichter; Bird Brenner; Alicia Fernandez; Adrienne Cool; Eleni Fourtouni; Louise Calio; Marcelle Mékiès; Glenn Wallch; Rhonda Lipkin; Meg Starr,"New Haven, CT",Northeast,1979,1984,9,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,*unclear if two separate publications within collection*
Awake & Move,Women's Liberation Center,NA,"Penllyn, PA",Northeast,1971,1971,2,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,"newspaper by and for women, does not generally print writers' names"
Belles Lettres,NA,Janet Palmer Mullaney; Deanna Cook; Carol Armbruster; Cathie Brettschneider; Doris Grumbach; Helaine Harris; Claudia Tate; Laurey Egan; Kathy Velis,"Arlington, VA",South,1985,1990,20,yes,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,reviews of books written by women to promote and celebrate women writing
Berkshire Women's News,"Berkshire Women's News, Inc.",Jo Chaffee; Gina Ogden; Jane Arvanites; Sheila Barry; Andrea Doremus; Laurie Forfa; Mimi Francis; Ann Gibbons; Laura Magnotti; Pamela Meunier; Lois Root; Deborah Schwarz; Liz Seaborn; Liz Stell; Lilla Gilbrecht Weinberger; Sherry Steiner; Marie Angelone; Susan Lord; Susan Montaque; Wendy Rabinowiz; Donna Brewer,"Pittsfield, MA",Northeast,1984,1986,3,no,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,"bimonthly newspaper of, by, and for women in The Berkshires"
Between Our Selves,Between Our Selves,Raymina Y. Mays; Aida S. Wakil; Barbara A. Banks; Teresa Jones; ,"Washington, DC",South,1985,1985,3,no,"LGBTQ History and Culture Since 1940, Part I",Herstory Archive: Feminist Newspapers,"women of color newspaper, forum for Afro-America, Arab-America, Asian American Latina, Native American (all women of color) "
